파크더블유,서울 중랑구 양원역로16길 103-111,서울 중랑구 망우동 43-8,매일 11:00 ~ 22:00,02-432-5659,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD93AE1602E8746D699E5F3EFFBA02359,https://place.map.kakao.com/24576625,127.1138504,37.60779531
커피스터프,서울 중랑구 망우로42길 10,서울 중랑구 상봉동 118-1,매일 10:00 ~ 22:00,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F61FA8700DFDC463697645D2500638724,https://place.map.kakao.com/2145979742,127.0827135,37.5950497
개인공간,서울 중랑구 송림길 12 1층,서울 중랑구 신내동 495-35,매일 12:00 ~ 22:00,070-7718-0087,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F95D1CDF5C2B74C498B4EE0FBDA367E57,https://place.map.kakao.com/1848099630,127.0957018,37.59990307
카페브릭,서울 중랑구 신내역로1길 127-11,서울 중랑구 신내동 243-20,매일 09:00 ~ 23:00,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBC7DC9919D4544BCB975C9F987F7F2DD,https://place.map.kakao.com/26932883,127.1086207,37.61784428
다시사랑받개,서울 중랑구 용마산로139나길 83,서울 중랑구 신내동 273-20,수~일 13:00 ~ 20:00,02-6958-6224,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FACD58C8062C54534927AB097721AABA6,https://place.map.kakao.com/1536161428,127.1036036,37.61897034
카페252,서울 중랑구 망우로 252 1층,서울 중랑구 상봉동 118-19,매일 09:00 ~ 23:00,02-493-8286,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBB4BF0D7B2324F3F9A5B26C9FCEF05AC,https://place.map.kakao.com/131735695,127.0807183,37.59481205
라떼플로라,서울 중랑구 동일로156길 7 103호,서울 중랑구 묵동 180-51,매일 09:00 ~ 22:00,02-432-9503,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F94C5BCA835BB4070A5E994DC0A42E56F,https://place.map.kakao.com/19756111,127.0785003,37.60986044
스타벅스 상봉역점,서울 중랑구 망우로 307,서울 중랑구 상봉동 100-2,월~금 07:00 ~ 22:00,1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F270C894E55E006C424,https://place.map.kakao.com/17884784,127.0864718,37.59693801
스타벅스 사가정역점,서울 중랑구 면목로 310,서울 중랑구 면목동 617-2,월~금 07:00 ~ 22:00,1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F99B4326D83A84F0A927C3EB51DE57B1E,https://place.map.kakao.com/26303961,127.0879747,37.57963604
카페소고 망우점,서울 중랑구 신내로1길 15,서울 중랑구 망우동 489-29,"월,화,목,금,토,일 12:00 ~ 22:00",02-6014-6912,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBEF75F39B11F41BCA5C1C4906EBDD8D9,https://place.map.kakao.com/358842854,127.0961114,37.59948063
