라라브레드 송파점,"서울 송파구 오금로16길 4 지하1층, 1,2층",서울 송파구 송파동 58-8,매일 10:30 ~ 21:30,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAFCBC6EA8572404CA67811A2727C0DF1,https://place.map.kakao.com/702337989,127.1091047,37.51113268
뉴질랜드스토리,서울 송파구 석촌호수로 268 경남레이크파크 1층,서울 송파구 송파동 32-1,"월,수,목,금 10:30 ~ 17:00",070-7523-6265,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF9FF840FCB104DB7A8BCF10288ED5C4E,https://place.map.kakao.com/21404892,127.1057056,37.5097093
뷰클런즈,서울 송파구 백제고분로43길 10 1층,서울 송파구 송파동 45-18,매일 12:00 ~ 22:00,070-4065-4860,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F484BFACAC8D14A6D81E3D1D3DA0A8773,https://place.map.kakao.com/244820280,127.1095894,37.5083602
프로퍼커피바,서울 송파구 위례성대로22길 6 유진빌딩 1층,서울 송파구 오금동 8-5,수~금 10:00 ~ 22:00,02-3401-0703,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4DE0BC07DB2F44809763A54C556D9DB5,https://place.map.kakao.com/27288893,127.1311212,37.50970869
커피바이 로스터스,서울 송파구 백제고분로17길 56 2층,서울 송파구 잠실동 208-1,매일 10:00 ~ 21:00,02-415-4153,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC9B4E7934A2A42C891E45AB07A210666,https://place.map.kakao.com/438591937,127.0852781,37.51045418
앙떼띠 잠실점,"서울 송파구 올림픽로 342 아울타워 1,2층",서울 송파구 방이동 23-2,월~금 11:00 ~ 21:00,02-420-7410,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAE2A738893AA443F9AC4DAB285CD73D5,https://place.map.kakao.com/418254115,127.1082764,37.51567666
디트로네 잠실점,서울 송파구 석촌호수로 258 아르누보팰리스 1층 105호,서울 송파구 송파동 7-1,"월,화,수,목,일 11:00 ~ 24:00",02-422-5021,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F060F217EA7944FFDBE78BF04973A1995,https://place.map.kakao.com/2048471337,127.1048909,37.5091141
젠젠 잠실점,서울 송파구 백제고분로45길 34 동방빌딩 2층,서울 송파구 송파동 56-1,매일 09:30 ~ 22:20,02-412-7240,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD3D022A806D349AFB01E2ADB0605AAC1,https://place.map.kakao.com/1087045460,127.1080186,37.51069579
터치183,서울 송파구 위례성대로 126,서울 송파구 방이동 183,"월,수,목,금 09:00 ~ 19:30",0507-1409-1500,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6966D77470304AD1A10ED7D96EAF2935,https://place.map.kakao.com/1859284257,127.1256985,37.51227073
홍팥집 오금점,서울 송파구 성내천로 77 1층,서울 송파구 오금동 140-15,매일 11:00 ~ 22:00,02-430-6577,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD0DFC0862B134B32AC8BD6AA5ACD0658,https://place.map.kakao.com/26869549,127.1382414,37.50160639
서울리즘,"서울 송파구 백제고분로 435 예스빌딩 1,6층",서울 송파구 송파동 48-7,,02-412-0812,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6759B4D09BA4442982AB6ECCCE1615A7,https://place.map.kakao.com/288452481,127.1115363,37.50979584
위커파크,서울 송파구 석촌호수로 298 잠실대우레이크월드 103-1호,서울 송파구 송파동 58-1,매일 10:00 ~ 22:00,010-2942-0447,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F27E08F6B870F473D8856128FA26C2926,https://place.map.kakao.com/70270612,127.1081705,37.51156602
카페이클립스,서울 송파구 송파대로49길 52 나인파크A 201호,서울 송파구 석촌동 24-11,"화,수,목,일 12:00 ~ 23:00",010-7147-0401,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC2F82D1F48534C07BB32945D7A180460,https://place.map.kakao.com/235831720,127.0989685,37.50618752
