디자이너리카페,서울 관악구 관천로 71-1 4층,서울 관악구 신림동 1465-12,월~토 10:00 ~ 23:00,02-868-7112,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F821F547BE7354374AC34260FBC920882,https://place.map.kakao.com/1099251112,126.9241148,37.48506213
폼앤노말,서울 관악구 신림로67길 25 1층,서울 관악구 신림동 1432-119,매일 11:00 ~ 22:00,010-4053-1124,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5C8D001C15634B99A39D9335E81CD99B,https://place.map.kakao.com/1168065433,126.9278653,37.48579096
사생활 신림점,서울 관악구 신사로14길 19 지하1층,서울 관악구 신림동 496-37,매일 11:00 ~ 23:00,070-5033-7759,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F59E0DA618A5941DE830AA475DAB84022,https://place.map.kakao.com/297508565,126.9165172,37.48778985
온고지신,"서울 관악구 관악로14길 101 1, 2층",서울 관악구 봉천동 1620-32,매일 12:00 ~ 22:00,02-6338-5977,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F222E4DACB62E4E6690759EA17CEC24EE,https://place.map.kakao.com/71268832,126.957957,37.47790843
고로커피로스터스,서울 관악구 남부순환로231길 33 1층,서울 관악구 봉천동 100-137,"월,화,목,금 11:00 ~ 20:00",,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8FDE537EDC5C4E8392D623586ABA586E,https://place.map.kakao.com/508064654,126.9579471,37.48073471
데이즈앤데이즈,서울 관악구 시흥대로 578 광안빌딩 2층,서울 관악구 신림동 1643,매일 09:00 ~ 23:00,02-869-0077,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2741FB4B54E4C7412E,https://place.map.kakao.com/26504962,126.9032473,37.48430905
황홀경,서울 관악구 관악로14길 37 지하1층,서울 관악구 봉천동 1603-20,매일 12:00 ~ 22:30,02-6449-7362,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F214DC045DE4244C99397FFFEC36E3D25,https://place.map.kakao.com/960623897,126.9546036,37.47894515
발루토,서울 관악구 신림로23길 28 1~3층,서울 관악구 신림동 1524-5,매일 09:00 ~ 21:00,02-875-1155,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2D661236724E4A7D91CD4ED6302552FB,https://place.map.kakao.com/1256440499,126.9346927,37.46975444
비엔나커피하우스 신림점,서울 관악구 신림로 363 1~3층,서울 관악구 신림동 1431-10,매일 09:00 ~ 23:50,02-875-1683,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F01FD07F0BC1E47BAAB34A15224FE59C3,https://place.map.kakao.com/565350702,126.9289064,37.48666034
소디스 에스프레소바 샤로수길,서울 관악구 남부순환로230길 45 1층 101호,서울 관악구 봉천동 1613-14,매일 11:00 ~ 23:00,02-6084-0061,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5ece9ac1111742969c1805b3fffae4522c09efc7%3Foriginal,https://place.map.kakao.com/482399452,126.955503,37.47803899
