1인1잔,"서울 은평구 연서로 534 1,2층",서울 은평구 진관동 219,화~일 10:00 ~ 21:00,02-355-1111,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F16DBEE0EE28F49C8992491C8A99A707B,https://place.map.kakao.com/670102239,126.9379431,37.64097221
롱브레드 은평한옥마을점,"서울 은평구 연서로 530 1, 2층",서울 은평구 진관동 219-2,매일 10:00 ~ 20:00,02-352-7290,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1793B6ED7DCD4FA49710993F31B96959,https://place.map.kakao.com/514604405,126.9377883,37.64082058
카페뤽상부르,"서울 은평구 연서로25길 6-11 1, 2층",서울 은평구 갈현동 481-13,매일 11:00 ~ 23:00,02-385-2846,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0743B1F51C844738A7DCEEDAC0FB36D8,https://place.map.kakao.com/566932126,126.9181723,37.61725025
YM커피프로젝트,서울 은평구 연서로29길 21-8 1층,서울 은평구 갈현동 452-26,"월,수,목,금,토,일 11:30 ~ 23:00",070-7767-0829,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB11DE3D69ABB42C893D9E87DA64E6660,https://place.map.kakao.com/1994915181,126.9175595,37.61913361
근린커피,서울 은평구 응암로21길 23,서울 은평구 응암동 579-33,매일 11:00 ~ 23:00,070-7715-5300,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2Fef07910584c7c7d6b779805a9f87c28ed403dd6c,https://place.map.kakao.com/841369143,126.915399,37.5941999
휴가,서울 은평구 진관2로 19 휴먼프라자 3층,서울 은평구 진관동 74,매일 10:00 ~ 22:00,02-352-7400,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCF629C4C69DE4D5D942458D4C9CC8E5B,https://place.map.kakao.com/1059714707,126.9195847,37.63485353
플로,서울 은평구 서오릉로 20-1 1층,서울 은평구 녹번동 82-41,"월,화,목,금,토,일 11:00 ~ 22:00",02-355-4862,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4F47CC84EBA547E2A8C57F78E6B41860,https://place.map.kakao.com/428776706,126.9262938,37.603088
스타벅스 더북한산점,서울 은평구 대서문길 24-11,서울 은평구 진관동 277-11,매일 07:00 ~ 22:00,1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3A3F13505AA843339F5F83ED0CC98091,https://place.map.kakao.com/76206032,126.9475564,37.65545766
823m,서울 은평구 연서로29길 21-9 1층,서울 은평구 갈현동 453-22,매일 12:00 ~ 24:00,02-2088-1823,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEA90F6B0D1E64AB687A4C04D08CEEFD8,https://place.map.kakao.com/1722687087,126.9180026,37.61884948
온도차,서울 은평구 녹번로 74 1층,서울 은평구 녹번동 117-64,매일 11:00 ~ 21:00,070-8861-6622,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F66E18D8A828C4D8E9984823EB07A59E3,https://place.map.kakao.com/38547227,126.932047,37.60703779
