성북동빵공장,서울 성북구 대사관로 40 B동 1~3층,서울 성북구 성북동 330-105,매일 10:00 ~ 22:00,02-762-3450,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5C6A37C13A1B4B72A87C5D793E66E861,https://place.map.kakao.com/1540882128,126.9886308,37.59589362
수연산방,서울 성북구 성북로26길 8,서울 성북구 성북동 248,수~금 11:30 ~ 18:00,02-764-1736,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF2EFDB107B454C0296F1EFE6F5014FF7,https://place.map.kakao.com/7940056,126.9948358,37.59505307
해로커피,서울 성북구 성북로 19-3 1층,서울 성북구 성북동1가 66,매일 11:00 ~ 22:00,02-6012-9871,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFEFBE4D4B2B04459A6FEF7A943B92FD3,https://place.map.kakao.com/2072595213,127.0042235,37.58961959
죠셉의커피나무,서울 성북구 성북로31길 65,서울 성북구 성북동 350-3,매일 11:30 ~ 22:00,02-741-1060,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F99BE49F0E3D743C3B088CE7C5D782D6B,https://place.map.kakao.com/13324245,126.9886076,37.59459782
폴드커피,"서울 성북구 종암로 214-3 1,2층",서울 성북구 하월곡동 133,"월,수,목,금,토,일 12:00 ~ 22:00",,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFBA7F6EAAB8B4267823A34FA19809422,https://place.map.kakao.com/1742406210,127.0308019,37.60905128
카페루틴,서울 성북구 보문로34가길 6 1층,서울 성북구 동선동3가 230,매일 11:00 ~ 22:00,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEFE7BA9B36D8480AAFFCCC2BC5E84A6E,https://place.map.kakao.com/293334422,127.0201268,37.59171005
커피명가 안암점,서울 성북구 안암로5길 40 java빌딩 1층,서울 성북구 안암동4가 7,월~금 09:00 ~ 22:00,02-928-0892,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F26621C3D54D489362E,https://place.map.kakao.com/26488245,127.0235001,37.58088544
모블러,서울 성북구 동소문로26다길 26,서울 성북구 동선동3가 28,매일 11:00 ~ 21:00,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4B4A29D013174A8BBD9C5D722A8C0B56,https://place.map.kakao.com/327691864,127.020478,37.5950388
째즈스토리,서울 성북구 혜화로 88,서울 성북구 성북동 122-7,매일 17:00 ~ 02:00,02-725-6537,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F77B3AA4C71144070B1A28C15F222929F,https://place.map.kakao.com/23779742,126.9981949,37.59275096
스타벅스 성신여대점,서울 성북구 동소문로24길 12,서울 성북구 동선동1가 92-1,월~금 07:00 ~ 22:00,1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2717FD4D55E006C416,https://place.map.kakao.com/17884760,127.0184133,37.59315003
알렉스더커피 성북점,"서울 성북구 성북로28길 9 지하1층, 1층",서울 성북구 성북동 260-38,월~금 11:00 ~ 20:00,070-4001-7714,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6877C25CA3324A168D6E5AFE0EB191FB,https://place.map.kakao.com/27464878,126.9935172,37.59510536
카페작약,서울 성북구 보문로32길 14 2층,서울 성북구 삼선동5가 409,,070-7740-0259,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9C51A5630E8D4416B3AC543E5E556812,https://place.map.kakao.com/2113410227,127.0173638,37.58940782
